cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,mean_n_late,count,is_model,cell_type
0,Critical,14,7,1400–1700,1550,930.0,3.0511811023622046,5.0,0,True,extrapolated
0,Critical,14,8,1700–2100,1900,1140.0,3.7401574803149606,5.0,0,True,extrapolated
0,Critical,14,9,2100–2500,2300,1380.0,4.52755905511811,5.0,0,True,extrapolated
0,Dry,1,0,0–150,75,,,,0,True,infeasible
0,Dry,1,1,150–300,225,,,,0,True,infeasible
0,Dry,1,2,300–500,400,,,,0,True,infeasible
0,Dry,1,3,500–700,600,,,,0,True,infeasible
0,Dry,1,4,700–900,800,,,,0,True,infeasible
0,Dry,1,5,900–1100,1000,,,,0,True,infeasible
0,Dry,1,6,1100–1400,1250,,,,0,True,infeasible
0,Dry,1,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,1,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,1,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,2,0,0–150,75,,,,0,True,infeasible
0,Dry,2,1,150–300,225,,,,0,True,infeasible
0,Dry,2,2,300–500,400,,,,0,True,infeasible
0,Dry,2,3,500–700,600,,,,0,True,infeasible
0,Dry,2,4,700–900,800,,,,0,True,infeasible
0,Dry,2,5,900–1100,1000,,,,0,True,infeasible
0,Dry,2,6,1100–1400,1250,,,,0,True,infeasible
0,Dry,2,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,2,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,2,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,3,0,0–150,75,,,,0,True,infeasible
0,Dry,3,1,150–300,225,,,,0,True,infeasible
0,Dry,3,2,300–500,400,,,,0,True,infeasible
0,Dry,3,3,500–700,600,,,,1,True,infeasible
0,Dry,3,4,700–900,800,,,,1,True,infeasible
0,Dry,3,5,900–1100,1000,,,,0,True,infeasible
0,Dry,3,6,1100–1400,1250,,,,0,True,infeasible
0,Dry,3,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,3,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,3,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,4,0,0–150,75,,,,0,True,infeasible
0,Dry,4,1,150–300,225,,,,0,True,infeasible
0,Dry,4,2,300–500,400,,,,1,True,infeasible
0,Dry,4,3,500–700,600,,,,2,True,infeasible
