county,strategy,water_saved_acft,revenue_lost,neb_normal,neb_drought,neb_incentive
Kern,S3,0.7470472440944881,165.0,96.46653543307082,731.4566929133857,396.4665354330708
Kern,S4,0.7198818897637794,66.0,185.9586614173228,797.8582677165354,485.9586614173228
Kern,S5,1.0704724409448818,327.0,47.665354330708624,957.5669291338581,347.6653543307086
Kern,S6,1.2321850393700786,489.0,-57.73523622047247,989.6220472440943,242.26476377952753
Kern,S7,1.1811023622047243,405.0,8.385826771653512,1012.3228346456692,308.3858267716535
Riverside,S0,0.0,0.0,0.0,0.0,0.0
Riverside,S1,1.732283464566929,486.0,-139.54330708661422,553.3700787401574,60.45669291338578
Riverside,S2,2.3097112860892386,648.0,-186.05774278215227,737.8267716535431,13.942257217847725
Riverside,S3,0.8956692913385826,165.0,14.133858267716533,372.40157480314963,214.13385826771653
Riverside,S4,0.8083989501312334,66.0,95.67979002624668,419.03937007874003,295.6797900262467
Riverside,S5,1.4153543307086613,489.0,-205.92913385826773,360.2125984251968,-5.929133858267733
Riverside,S6,1.5885826771653542,651.0,-333.2834645669292,302.14960629921245,-133.28346456692918
Riverside,S7,1.279527559055118,405.0,-149.09448818897638,362.7165354330708,50.905511811023615
Imperial,S0,0.0,0.0,0.0,0.0,0.0
Imperial,S1,1.7224409448818898,486.0,-448.1062992125984,-448.1062992125984,151.8937007874016
Imperial,S2,2.2965879265091864,648.0,-597.4750656167979,-597.4750656167979,2.524934383202094
Imperial,S3,1.1414041994750654,165.0,-139.88910761154855,-139.88910761154855,460.1108923884515
Imperial,S4,0.8152887139107612,66.0,-48.063648293963254,-48.063648293963254,551.9363517060367
Imperial,S5,1.6409120734908136,489.0,-452.8999343832021,-452.8999343832021,147.1000656167979
Imperial,S6,1.8074146981627295,651.0,-611.23687664042,-611.23687664042,-11.23687664041995
Imperial,S7,1.3779527559055118,405.0,-374.68503937007875,-374.68503937007875,225.31496062992125
