UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_mm_cap1,saved_mm_cap2,saved_mm_cap3
3909171,San Joaquin,2021,6.0,0,2021-07-01,2,302.802,777.4299999999998,"[146.968, 155.834]","[Timestamp('2021-07-24 00:00:00'), Timestamp('2021-08-22 00:00:00')]",4.622528100731018,4.592226883062841,302.802,155.834,0.0,0.0
3909181,San Joaquin,2021,7.0,7,2021-07-01,3,391.38699999999994,807.1429999999999,"[124.57700000000001, 162.075, 104.73499999999997]","[Timestamp('2021-07-06 00:00:00'), Timestamp('2021-08-06 00:00:00'), Timestamp('2021-08-26 00:00:00')]",28.389774345199083,36.45468704607753,391.38699999999994,266.80999999999995,104.73499999999997,0.0
3909247,San Joaquin,2021,8.0,8,2021-07-01,2,294.456,885.0640000000001,"[193.13700000000003, 101.31899999999999]","[Timestamp('2021-07-10 00:00:00'), Timestamp('2021-07-30 00:00:00')]",36.71547072954514,35.46945751029837,294.456,101.31899999999999,0.0,0.0
3909248,San Joaquin,2021,9.0,10,2021-07-01,3,441.69900000000007,928.2570000000001,"[160.989, 192.30800000000002, 88.40200000000002]","[Timestamp('2021-07-02 00:00:00'), Timestamp('2021-08-05 00:00:00'), Timestamp('2021-08-25 00:00:00')]",17.87644785874523,25.905541806955085,441.69900000000007,280.71000000000004,88.40200000000002,0.0
3909269,San Joaquin,2021,9.0,9,2021-07-01,3,448.20000000000005,989.914,"[179.204, 162.841, 106.15500000000002]","[Timestamp('2021-07-18 00:00:00'), Timestamp('2021-08-18 00:00:00'), Timestamp('2021-09-07 00:00:00')]",56.391631150534344,82.92233950678968,448.20000000000005,268.99600000000004,106.15500000000002,0.0
3909294,San Joaquin,2021,10.0,11,2021-07-01,3,342.819,870.684,"[136.06, 100.93299999999999, 105.82600000000001]","[Timestamp('2021-07-22 00:00:00'), Timestamp('2021-08-15 00:00:00'), Timestamp('2021-09-10 00:00:00')]",28.23734005349257,31.75950354264524,342.819,206.75900000000001,105.82600000000001,0.0
3909376,San Joaquin,2021,10.0,10,2021-07-01,3,465.37300000000005,1089.464,"[164.363, 178.79, 122.22]","[Timestamp('2021-07-16 00:00:00'), Timestamp('2021-08-17 00:00:00'), Timestamp('2021-09-09 00:00:00')]",29.878286080910918,45.61859458114094,465.37300000000005,301.01,122.22,0.0
3909403,San Joaquin,2021,8.0,9,2021-07-01,2,311.692,876.92,"[198.552, 113.13999999999999]","[Timestamp('2021-07-24 00:00:00'), Timestamp('2021-08-13 00:00:00')]",30.84265035036238,31.540050436368606,311.692,113.13999999999999,0.0,0.0
3909417,San Joaquin,2021,9.0,10,2021-07-01,3,509.095,909.2420000000002,"[317.43300000000005, 101.12, 90.54199999999999]","[Timestamp('2021-07-24 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-10 00:00:00')]",21.632691248367898,36.132201283096634,509.095,191.66199999999998,90.54199999999999,0.0
3909531,San Joaquin,2021,7.0,8,2021-07-01,3,506.44599999999997,875.3330000000001,"[182.786, 170.96400000000003, 152.69599999999997]","[Timestamp('2021-07-09 00:00:00'), Timestamp('2021-08-11 00:00:00'), Timestamp('2021-09-09 00:00:00')]",16.475248349904337,27.37474942852904,506.44599999999997,323.65999999999997,152.69599999999997,0.0
