UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_acft_cap0,saved_mm_cap1,saved_acft_cap1,saved_mm_cap2,saved_acft_cap2,saved_mm_cap3,saved_acft_cap3,saved_mm_cap4,saved_acft_cap4
3901622,San Joaquin,2019,5.0,7,2019-07-01,2,20.337,"[10.858, 9.479]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-08-26 00:00:00')]",36.81355763397153,2.456290425203671,20.337,2.456290425203671,9.479,1.1448678241877168,0.0,0.0,0.0,0.0,0.0,0.0
3901624,San Joaquin,2019,4.0,9,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-03 00:00:00'), Timestamp('2019-09-10 00:00:00')]",36.50036527249488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901638,San Joaquin,2019,6.0,10,2019-07-01,2,48.121,"[44.621, 3.5]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-09-06 00:00:00')]",45.822624419751264,7.234352065954234,48.121,7.234352065954234,3.5,0.5261784300168288,0.0,0.0,0.0,0.0,0.0,0.0
3901646,San Joaquin,2019,6.0,10,2019-07-01,3,27.082,"[2.989, 20.864, 3.229]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-14 00:00:00'), Timestamp('2019-09-10 00:00:00')]",20.964931233525547,1.862769907041794,27.082,1.862769907041794,24.093,1.657178767090981,3.229,0.2220989598197309,0.0,0.0,0.0,0.0
3901828,San Joaquin,2019,6.0,10,2019-07-01,3,33.010000000000005,"[18.743000000000002, 10.765, 3.502]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-07 00:00:00')]",23.35605139228108,2.529472626178473,33.010000000000005,2.529472626178473,14.267,1.0932440459766213,3.502,0.2683493831225995,0.0,0.0,0.0,0.0
3901918,San Joaquin,2019,7.0,10,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-08-10 00:00:00'), Timestamp('2019-09-10 00:00:00')]",49.43871106344174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902004,San Joaquin,2019,6.0,9,2019-07-01,3,157.468,"[101.21499999999999, 52.323, 3.93]","[Timestamp('2019-07-18 00:00:00'), Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-09 00:00:00')]",39.57645192597818,20.446275367060142,157.468,20.446275367060142,56.253,7.304114665984418,3.93,0.5102869293605455,0.0,0.0,0.0,0.0
3902049,San Joaquin,2019,3.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-22 00:00:00'), Timestamp('2019-08-28 00:00:00')]",76.42114017137376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902139,San Joaquin,2019,4.0,9,2019-07-01,2,9.775,"[6.694, 3.081]","[Timestamp('2019-08-11 00:00:00'), Timestamp('2019-09-10 00:00:00')]",41.89017653490093,1.3434267573118652,9.775,1.3434267573118652,3.081,0.4234371191077091,0.0,0.0,0.0,0.0,0.0,0.0
3902146,San Joaquin,2019,5.0,8,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-31 00:00:00'), Timestamp('2019-09-03 00:00:00')]",17.211216124283943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902191,San Joaquin,2019,5.0,11,2019-07-01,3,35.243,"[15.938000000000002, 15.918, 3.387]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-09-10 00:00:00')]",26.66989162582253,3.0837499690579504,35.243,3.0837499690579504,19.305,1.6891806359465351,3.387,0.296361295723953,0.0,0.0,0.0,0.0
3902328,San Joaquin,2019,5.0,10,2019-07-01,2,43.112,"[37.632999999999996, 5.479]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-09-09 00:00:00')]",14.54753662144911,2.057655507952473,43.112,2.057655507952473,5.479,0.2615024709610226,0.0,0.0,0.0,0.0,0.0,0.0
3902354,San Joaquin,2019,4.0,7,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-30 00:00:00')],16.517243774853135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902388,San Joaquin,2019,3.0,7,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-15 00:00:00')],29.145019630627925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902454,San Joaquin,2019,8.0,10,2019-07-01,3,12.617,"[3.708, 3.453, 5.4559999999999995]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-08 00:00:00'), Timestamp('2019-09-09 00:00:00')]",40.18140910547677,1.6632835914822846,12.617,1.6632835914822846,8.908999999999999,1.1744625122069965,5.456,0.7192577692896365,0.0,0.0,0.0,0.0
3902628,San Joaquin,2019,5.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-22 00:00:00'), Timestamp('2019-09-01 00:00:00')]",33.7371843807295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902638,San Joaquin,2019,4.0,7,2019-07-01,2,6.611000000000001,"[3.733, 2.878]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-16 00:00:00')]",88.81326514049707,1.926327086101792,6.611000000000001,1.926327086101792,2.878,0.838597693813486,0.0,0.0,0.0,0.0,0.0,0.0
3902687,San Joaquin,2019,2.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-08-03 00:00:00'), Timestamp('2019-09-10 00:00:00')]",4.97791183317649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902712,San Joaquin,2019,4.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-07 00:00:00'), Timestamp('2019-08-11 00:00:00')]",10.137142543901971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902820,San Joaquin,2019,5.0,7,2019-07-01,2,38.974,"[35.357, 3.617]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-16 00:00:00')]",45.04104631487692,5.759283920853061,38.974,5.759283920853061,3.617,0.534492993835006,0.0,0.0,0.0,0.0,0.0,0.0
3902892,San Joaquin,2019,3.0,8,2019-07-01,2,7.522,"[3.799, 3.723]","[Timestamp('2019-07-23 00:00:00'), Timestamp('2019-08-28 00:00:00')]",87.47504497125455,2.158750945780107,7.522,2.158750945780107,3.723,1.068469791430383,0.0,0.0,0.0,0.0,0.0,0.0
3902898,San Joaquin,2019,2.0,7,2019-07-01,2,27.071,"[19.555999999999997, 7.515]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-16 00:00:00')]",32.52662998716992,2.8888727046675746,27.071,2.8888727046675746,7.515,0.8019607098214631,0.0,0.0,0.0,0.0,0.0,0.0
3902920,San Joaquin,2019,6.0,7,2019-07-01,2,7.138,"[3.873, 3.265]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-08-16 00:00:00')]",65.04317932750999,1.5232224870071072,7.138,1.5232224870071072,3.265,0.6967387811821526,0.0,0.0,0.0,0.0,0.0,0.0
3902927,San Joaquin,2019,5.0,7,2019-07-01,2,28.907,"[25.089, 3.818]","[Timestamp('2019-07-24 00:00:00'), Timestamp('2019-08-30 00:00:00')]",6.671968116535613,0.6327643777713089,28.907,0.6327643777713089,3.818,0.083574718730095,0.0,0.0,0.0,0.0,0.0,0.0
3902955,San Joaquin,2019,6.0,8,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-30 00:00:00'), Timestamp('2019-09-02 00:00:00')]",16.14432667794221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3902966,San Joaquin,2019,3.0,7,2019-07-01,2,18.476,"[13.689, 4.787]","[Timestamp('2019-07-16 00:00:00'), Timestamp('2019-09-03 00:00:00')]",77.56695056823006,4.70186016633405,18.476,4.70186016633405,4.787,1.2182184789045842,0.0,0.0,0.0,0.0,0.0,0.0
3902971,San Joaquin,2019,3.0,9,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-20 00:00:00'), Timestamp('2019-08-12 00:00:00'), Timestamp('2019-09-08 00:00:00')]",22.39615362094121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903011,San Joaquin,2019,3.0,7,2019-07-01,1,25.135,[25.135],[Timestamp('2019-09-03 00:00:00')],119.77783436915564,9.877348644582437,25.135,9.877348644582437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903027,San Joaquin,2019,6.0,10,2019-07-01,3,31.592,"[26.311, 3.103, 2.178]","[Timestamp('2019-07-03 00:00:00'), Timestamp('2019-07-30 00:00:00'), Timestamp('2019-09-10 00:00:00')]",3.921994624976833,0.4065080518119033,31.592,0.4065080518119033,5.281000000000001,0.067952931806111,2.178,0.0280252765524919,0.0,0.0,0.0,0.0
3903036,San Joaquin,2019,8.0,11,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-13 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-07 00:00:00')]",31.127763759927056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903046,San Joaquin,2019,3.0,8,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-10 00:00:00'), Timestamp('2019-08-30 00:00:00')]",31.22033668912084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903053,San Joaquin,2019,4.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-08-31 00:00:00')]",38.844581603015165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903055,San Joaquin,2019,6.0,9,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-09-01 00:00:00')]",40.0348151000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903124,San Joaquin,2019,3.0,10,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-22 00:00:00'), Timestamp('2019-08-26 00:00:00')]",30.01052619690669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903143,San Joaquin,2019,6.0,8,2019-07-01,2,24.056,"[3.557, 20.499]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-09-03 00:00:00')]",7.707573730238447,0.6083116589718375,24.056,0.6083116589718375,20.499,0.518364678137001,0.0,0.0,0.0,0.0,0.0,0.0
3903197,San Joaquin,2019,4.0,7,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-09 00:00:00')],15.19124775161228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903216,San Joaquin,2019,5.0,10,2019-07-01,2,11.227,"[9.234, 1.993]","[Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-08 00:00:00')]",28.7112088693803,1.0575483660647396,11.227,1.0575483660647396,1.993,0.187734380828986,0.0,0.0,0.0,0.0,0.0,0.0
3903231,San Joaquin,2019,5.0,8,2019-07-01,1,4.508,[4.508],[Timestamp('2019-08-30 00:00:00')],20.27242763909246,0.2998297368668924,4.508,0.2998297368668924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903280,San Joaquin,2019,4.0,7,2019-07-01,1,6.925000000000001,[6.925000000000001],[Timestamp('2019-08-06 00:00:00')],44.55408214400502,1.0122605605224235,6.925000000000001,1.0122605605224235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903299,San Joaquin,2019,8.0,11,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-28 00:00:00'), Timestamp('2019-09-02 00:00:00')]",49.12103486176742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903326,San Joaquin,2019,3.0,6,2019-07-01,2,14.361,"[7.535, 6.8260000000000005]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-09-01 00:00:00')]",38.49012455158981,1.8135061636659489,14.361,1.8135061636659489,6.8260000000000005,0.8619868444525985,0.0,0.0,0.0,0.0,0.0,0.0
3903364,San Joaquin,2019,4.0,8,2019-07-01,2,67.011,"[62.422999999999995, 4.588]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-09-01 00:00:00')]",30.587278341323177,6.724685396753305,67.011,6.724685396753305,4.588,0.460414806528841,0.0,0.0,0.0,0.0,0.0,0.0
3903463,San Joaquin,2019,3.0,11,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-01 00:00:00'), Timestamp('2019-07-22 00:00:00'), Timestamp('2019-08-26 00:00:00')]",48.978294181787696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903478,San Joaquin,2019,3.0,6,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-18 00:00:00'), Timestamp('2019-08-24 00:00:00')]",22.25681443138425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903560,San Joaquin,2019,5.0,8,2019-07-01,3,82.20599999999999,"[40.840999999999994, 35.736999999999995, 5.628]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-09 00:00:00')]",15.399907078440176,4.1534276945218265,82.20599999999999,4.1534276945218265,41.365,2.089951300195793,5.628,0.2843526149523009,0.0,0.0,0.0,0.0
3903614,San Joaquin,2019,3.0,8,2019-07-01,3,24.709,"[10.629000000000001, 10.517, 3.563]","[Timestamp('2019-07-15 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-10 00:00:00')]",48.27501037232893,3.9134751682738695,24.709,3.9134751682738695,14.08,2.230026725860864,3.563,0.5643171324035694,0.0,0.0,0.0,0.0
3903717,San Joaquin,2019,7.0,10,2019-07-01,3,52.395,"[36.980000000000004, 9.143, 6.272]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-09 00:00:00')]",7.652338857338082,1.3154340368445827,52.395,1.3154340368445827,15.415,0.387010510124234,6.272,0.1574654505027048,0.0,0.0,0.0,0.0
3903767,San Joaquin,2019,4.0,7,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-12 00:00:00'), Timestamp('2019-08-14 00:00:00')]",29.928044882541474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903791,San Joaquin,2019,5.0,10,2019-07-01,2,20.883,"[10.965, 9.918]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-08-26 00:00:00')]",31.338302842532872,2.147105571721174,20.883,2.147105571721174,9.918,1.0197286338328115,0.0,0.0,0.0,0.0,0.0,0.0
3903811,San Joaquin,2019,4.0,9,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-10 00:00:00'), Timestamp('2019-09-02 00:00:00')]",26.393975587116007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3903879,San Joaquin,2019,2.0,7,2019-07-01,2,84.86599999999999,"[33.699, 51.166999999999994]","[Timestamp('2019-07-13 00:00:00'), Timestamp('2019-08-15 00:00:00')]",90.07876130796112,25.08078791719628,84.86599999999999,25.08078791719628,51.167,15.12158786038204,0.0,0.0,0.0,0.0,0.0,0.0
3903899,San Joaquin,2019,5.0,9,2019-07-01,2,13.977,"[10.676, 3.301]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-09-10 00:00:00')]",17.88294138311023,0.8200455108652613,13.977,0.8200455108652613,3.301,0.1936731939161642,0.0,0.0,0.0,0.0,0.0,0.0
3903944,San Joaquin,2019,2.0,7,2019-07-01,1,0.0,[0.0],[Timestamp('2019-08-26 00:00:00')],22.838640671597027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3904000,San Joaquin,2019,4.0,8,2019-07-01,2,6.167,"[4.003, 2.164]","[Timestamp('2019-07-23 00:00:00'), Timestamp('2019-08-31 00:00:00')]",18.902469144767515,0.3824525171121432,6.167,0.3824525171121432,2.164,0.1342025696498586,0.0,0.0,0.0,0.0,0.0,0.0
3904126,San Joaquin,2019,1.0,7,2019-07-01,2,13.493,"[4.558, 8.934999999999999]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-08-26 00:00:00')]",91.0868671988565,4.032267385545179,13.493,4.032267385545179,8.934999999999999,2.6701481575517803,0.0,0.0,0.0,0.0,0.0,0.0
3904148,San Joaquin,2019,5.0,8,2019-07-01,2,0.0,"[0.0, 0.0]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-08-18 00:00:00')]",17.904341831348372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3904285,San Joaquin,2019,5.0,9,2019-07-01,3,0.0,"[0.0, 0.0, 0.0]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-10 00:00:00')]",38.82792391415904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
