cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,count,is_model
0,Above Normal,6,1,150–300,225,6.414142857142857,0.021043775778027747,7,False
0,Above Normal,6,2,300–500,400,91.26489130434784,0.29942549640534066,46,False
0,Above Normal,6,3,500–700,600,225.28988,0.7391400262467192,50,False
0,Above Normal,6,4,700–900,800,377.2315213675214,1.2376362249590596,117,False
0,Above Normal,6,5,900–1100,1000,461.78952777777783,1.5150575058326043,72,False
0,Above Normal,6,6,1100–1400,1250,548.6499,1.8000324803149605,20,False
0,Above Normal,6,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,6,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,6,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,7,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,7,1,150–300,225,92.69654838773278,0.3041225340804881,2,True
0,Above Normal,7,2,300–500,400,47.181999999999995,0.15479658792650916,6,False
0,Above Normal,7,3,500–700,600,179.23445652173913,0.5880395555175169,46,False
0,Above Normal,7,4,700–900,800,366.76588571428573,1.2033001499812523,140,False
0,Above Normal,7,5,900–1100,1000,434.57044311377246,1.4257560469611956,167,False
0,Above Normal,7,6,1100–1400,1250,442.1921355932203,1.4507615997152896,59,False
0,Above Normal,7,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,7,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,7,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,8,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,8,1,150–300,225,92.69654838773278,0.3041225340804881,2,True
0,Above Normal,8,2,300–500,400,164.79386380041382,0.5406622828097566,4,True
0,Above Normal,8,3,500–700,600,204.0596111111111,0.6694869130941965,18,False
0,Above Normal,8,4,700–900,800,340.08110169491533,1.1157516459806933,59,False
0,Above Normal,8,5,900–1100,1000,395.92772222222214,1.2989754666083404,126,False
0,Above Normal,8,6,1100–1400,1250,455.2544912280702,1.4936170972049547,114,False
0,Above Normal,8,7,1400–1700,1550,638.5762222266036,2.095066345887807,3,True
0,Above Normal,8,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,8,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,9,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,9,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,9,2,300–500,400,164.79386380041382,0.5406622828097566,2,True
0,Above Normal,9,3,500–700,600,247.19079570062075,0.8109934242146349,2,True
0,Above Normal,9,4,700–900,800,351.1791764705882,1.1521626524625597,17,False
0,Above Normal,9,5,900–1100,1000,417.30940677966106,1.369125350326972,59,False
0,Above Normal,9,6,1100–1400,1250,447.0338703703704,1.466646556333236,54,False
0,Above Normal,9,7,1400–1700,1550,638.5762222266036,2.095066345887807,4,True
0,Above Normal,9,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,9,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,10,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,10,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,10,2,300–500,400,164.79386380041382,0.5406622828097566,0,True
0,Above Normal,10,3,500–700,600,247.19079570062075,0.8109934242146349,0,True
0,Above Normal,10,4,700–900,800,329.58772760082763,1.0813245656195132,0,True
0,Above Normal,10,5,900–1100,1000,450.5693,1.4782457349081364,10,False
0,Above Normal,10,6,1100–1400,1250,514.9808243762932,1.6895696337804893,1,True
0,Above Normal,10,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,10,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,10,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
