UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft
3901828,San Joaquin,2019,8.0,0,2019-07-01,3,519.03,1043.531,"[196.80300000000003, 150.361, 171.86599999999999]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-08 00:00:00'), Timestamp('2019-09-12 00:00:00')]",23.35605139228108,39.7719532615999
3901918,San Joaquin,2019,7.0,0,2019-07-01,3,524.766,955.782,"[117.24999999999999, 229.82500000000002, 177.691]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-17 00:00:00'), Timestamp('2019-09-24 00:00:00')]",49.43871106344174,85.1173052818834
3902004,San Joaquin,2019,7.0,0,2019-07-01,3,497.038,942.012,"[151.138, 172.053, 173.847]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-08 00:00:00')]",39.57645192597818,64.53740325585414
3902049,San Joaquin,2019,8.0,0,2019-07-01,2,358.149,989.4390000000001,"[176.12, 182.029]","[Timestamp('2019-07-28 00:00:00'), Timestamp('2019-09-01 00:00:00')]",76.42114017137376,89.79709623109363
3902139,San Joaquin,2019,6.0,0,2019-07-01,3,428.175,798.9570000000001,"[148.03700000000003, 154.198, 125.94]","[Timestamp('2019-07-15 00:00:00'), Timestamp('2019-08-17 00:00:00'), Timestamp('2019-09-12 00:00:00')]",41.890176534900924,58.846215019131236
3902146,San Joaquin,2019,4.0,0,2019-07-01,2,368.29400000000004,768.2850000000001,"[255.43600000000004, 112.85800000000002]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-08-18 00:00:00')]",17.211216124283943,20.79654734670942
3902191,San Joaquin,2019,9.0,9,2019-07-01,3,385.097,905.603,"[134.06599999999997, 153.186, 97.845]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-08-20 00:00:00'), Timestamp('2019-09-10 00:00:00')]",26.669891625822526,33.695850575555696
3902328,San Joaquin,2019,6.0,0,2019-07-01,3,429.923,745.889,"[151.063, 176.05800000000002, 102.80199999999999]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-16 00:00:00'), Timestamp('2019-09-08 00:00:00')]",14.54753662144911,20.519424497714127
3902354,San Joaquin,2019,6.0,0,2019-07-01,3,452.679,812.696,"[194.214, 148.404, 110.061]","[Timestamp('2019-07-16 00:00:00'), Timestamp('2019-08-12 00:00:00'), Timestamp('2019-09-01 00:00:00')]",16.517243774853135,24.530870717705845
3902388,San Joaquin,2019,8.0,8,2019-07-01,3,458.316,946.296,"[182.68499999999997, 172.982, 102.64900000000002]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-07 00:00:00')]",29.145019630627925,43.82424152569182
3902454,San Joaquin,2019,8.0,0,2019-07-01,3,429.09299999999996,987.304,"[151.418, 170.10699999999997, 107.568]","[Timestamp('2019-07-12 00:00:00'), Timestamp('2019-08-16 00:00:00'), Timestamp('2019-09-12 00:00:00')]",40.18140910547677,56.56680241895125
3902628,San Joaquin,2019,5.0,0,2019-07-01,2,381.922,870.455,"[189.724, 192.198]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-09-02 00:00:00')]",33.7371843807295,42.273533244937575
3902638,San Joaquin,2019,8.0,0,2019-07-01,3,472.653,894.481,"[160.836, 160.07000000000002, 151.74699999999996]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-24 00:00:00')]",88.81326514049707,137.72262535581154
3902687,San Joaquin,2019,5.0,0,2019-07-01,2,387.348,751.4330000000001,"[246.984, 140.364]","[Timestamp('2019-08-14 00:00:00'), Timestamp('2019-09-12 00:00:00')]",4.97791183317649,6.326063624531651
3902712,San Joaquin,2019,6.0,0,2019-07-01,2,410.15799999999996,876.756,"[209.01399999999998, 201.14399999999998]","[Timestamp('2019-07-15 00:00:00'), Timestamp('2019-08-18 00:00:00')]",10.137142543901973,13.641174906567404
3902820,San Joaquin,2019,7.0,0,2019-07-01,3,540.792,1118.491,"[184.238, 190.928, 165.62600000000003]","[Timestamp('2019-07-18 00:00:00'), Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-24 00:00:00')]",45.04104631487692,79.91416508764738
3902892,San Joaquin,2019,6.0,0,2019-07-01,3,340.919,637.703,"[120.15499999999999, 101.063, 119.70099999999998]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-01 00:00:00'), Timestamp('2019-08-28 00:00:00')]",87.47504497125455,97.84089519867167
3902898,San Joaquin,2019,6.0,0,2019-07-01,2,325.87000000000006,700.306,"[184.90300000000005, 140.967]","[Timestamp('2019-07-20 00:00:00'), Timestamp('2019-08-18 00:00:00')]",32.52662998716992,34.77510798529876
3902920,San Joaquin,2019,8.0,0,2019-07-01,3,428.88700000000006,1027.044,"[130.16, 140.14100000000002, 158.58600000000004]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-08-20 00:00:00'), Timestamp('2019-09-24 00:00:00')]",65.04317932750999,91.52288074881162
3902927,San Joaquin,2019,8.0,0,2019-07-01,3,321.192,762.943,"[112.984, 110.97000000000001, 97.23799999999999]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-08-28 00:00:00')]",6.671968116535613,7.030783409731977
3902955,San Joaquin,2019,8.0,0,2019-07-01,3,347.317,705.7139999999999,"[127.867, 111.078, 108.372]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-01 00:00:00')]",16.14432667794221,18.396322535442437
3902966,San Joaquin,2019,5.0,0,2019-07-01,2,526.911,857.5239999999999,"[248.19699999999997, 278.714]","[Timestamp('2019-07-20 00:00:00'), Timestamp('2019-09-08 00:00:00')]",77.56695056823006,134.09081197787617
3902971,San Joaquin,2019,6.0,0,2019-07-01,2,424.26699999999994,1032.029,"[223.73499999999999, 200.53199999999998]","[Timestamp('2019-07-13 00:00:00'), Timestamp('2019-08-16 00:00:00')]",22.39615362094121,31.17437305871346
3903011,San Joaquin,2019,6.0,0,2019-07-01,2,334.18899999999996,798.957,"[261.099, 73.09]","[Timestamp('2019-08-03 00:00:00'), Timestamp('2019-08-23 00:00:00')]",119.77783436915563,131.32688546585874
