county,WY,n_parcels,n_years,late_cuts_removed,cut_cap_k,area_acres,area_acres_unique,baseline_late_et_total_acft,water_saved_total_acft,scenario_late_et_total_acft,baseline_late_et_total_mm_area_weighted,water_saved_total_mm_area_weighted,scenario_late_et_total_mm_area_weighted,mean_saved_mm_per_cut,mean_saved_acft_per_acre_per_cut,water_saved_acft_per_acre,water_saved_mm_per_acre,water_saved_acft_per_parcel,water_saved_acft_per_cut_removed,water_saved_acft_per_acre_per_cut_removed,water_saved_pct_of_baseline_late_et,water_saved
Imperial,2024,159.0,1.0,281.0,0,8304.853275060254,8304.853275060254,7528.118361366174,7528.118361366174,0.0,276.2927171073666,276.2927171073666,0.0,159.7407612293144,0.5240838623009003,0.9064721689874233,276.2927171073666,47.346656360793546,26.790456802014855,0.5240838623009003,1.0,0.9064721689874233
Kern,2019,175.0,1.0,516.0,0,9432.954811412124,9432.954811412124,13988.618055017558,13988.618055017558,0.0,452.00373249016627,452.00373249016627,0.0,151.18038170498082,0.49599862764101327,1.4829518782485767,452.00373249016616,79.93496031438605,27.109724912824724,0.49599862764101327,1.0,1.4829518782485767
Kern,2020,175.0,1.0,481.0,0,9432.954811412124,9432.954811412124,12703.129413037255,12703.129413037255,0.0,410.46670131499604,410.46670131499604,0.0,144.85783333333333,0.47525535870516183,1.3466755292486747,410.4667013149961,72.58931093164146,26.409832459536915,0.47525535870516183,1.0,1.3466755292486747
Kern,2021,175.0,1.0,446.0,0,9432.954811412124,9432.954811412124,11151.14944165737,11151.14944165737,0.0,360.31873551489554,360.31873551489554,0.0,146.86797156862744,0.48185030042200605,1.182148082397951,360.31873551489554,63.72085395232783,25.002577223447016,0.48185030042200605,1.0,1.182148082397951
Kern,2022,175.0,1.0,493.0,0,9432.954811412124,9432.954811412124,13776.35384045403,13776.35384045403,0.0,445.1449979904853,445.1449979904853,0.0,159.39641047619048,0.5229541026121735,1.4604494684727207,445.1449979904853,78.7220219454516,27.94392259726984,0.5229541026121735,1.0,1.4604494684727207
Kern,2023,175.0,1.0,415.0,0,9432.954811412124,9432.954811412124,11594.923638288266,11594.923638288266,0.0,374.6580785773106,374.6580785773106,0.0,160.1643877245509,0.5254737130070568,1.229193171185402,374.65807857731056,66.25670650450438,27.93957503201992,0.5254737130070568,1.0,1.229193171185402
Kern,2024,175.0,1.0,379.0,0,9432.954811412124,9432.954811412124,11020.701751152319,11020.701751152319,0.0,356.10367704585286,356.10367704585286,0.0,154.50834129511676,0.5069171302333227,1.1683191504129031,356.10367704585286,62.975438578013254,29.078368736549656,0.5069171302333227,1.0,1.1683191504129031
Kings,2019,65.0,1.0,213.0,0,2613.6014876085046,2613.6014876085046,4431.345751941694,4431.345751941694,0.0,516.7865841810953,516.7865841810953,0.0,158.43084615384615,0.5197862406622248,1.6954940425888954,516.7865841810953,68.17455002987222,20.804440149961007,0.5197862406622248,1.0,1.6954940425888954
Kings,2020,65.0,1.0,173.0,0,2613.6014876085046,2613.6014876085046,3733.0090510968967,3733.009051096897,-4.547473508864641e-13,435.34607864623706,435.34607864623706,0.0,159.3737730769231,0.5228798329295377,1.4283007829600953,435.34607864623706,57.430908478413805,21.5780870005601,0.5228798329295377,1.0000000000000002,1.4283007829600953
Kings,2021,65.0,1.0,173.0,0,2613.6014876085046,2613.6014876085046,3508.650523010257,3508.6505230102575,-4.547473508864641e-13,409.1812330548073,409.1812330548073,0.0,156.03369743589744,0.5119215795140991,1.3424581136968743,409.1812330548073,53.97923881554242,20.28121689601305,0.5119215795140991,1.0000000000000002,1.3424581136968743
Kings,2022,65.0,1.0,166.0,0,2613.6014876085046,2613.6014876085046,3716.6441010618933,3716.6441010618937,-4.547473508864641e-13,433.43758693687823,433.43758693687823,0.0,164.73131380208335,0.540457066279801,1.4220393272207288,433.4375869368782,57.179140016336824,22.389422295553576,0.540457066279801,1.0000000000000002,1.4220393272207288
Kings,2023,65.0,1.0,169.0,0,2613.6014876085046,2613.6014876085046,3290.584890068275,3290.584890068275,0.0,383.7502692158885,383.7502692158885,0.0,159.31770182291666,0.52269587212243,1.2590231929655133,383.75026921588847,50.6243829241273,19.470916509279732,0.52269587212243,1.0,1.2590231929655133
Kings,2024,65.0,1.0,144.0,0,2613.6014876085046,2613.6014876085046,3086.1883900802145,3086.1883900802145,0.0,359.91340904736796,359.91340904736796,0.0,170.97975268817206,0.5609571938588321,1.1808182711527824,359.9134090473681,47.479821385849455,21.43186382000149,0.5609571938588321,1.0,1.1808182711527824
Madera,2019,29.0,1.0,85.0,0,1678.2877464480287,1678.2877464480287,2582.789151641935,2582.789151641935,0.0,469.06982136203067,469.06982136203067,0.0,160.1137011494253,0.5253074184692431,1.5389429834712292,469.06982136203067,89.06169488420466,30.385754725199234,0.5253074184692431,1.0,1.5389429834712292
Madera,2020,29.0,1.0,79.0,0,1678.2877464480287,1678.2877464480287,2390.5720499814743,2390.5720499814743,0.0,434.16056774321294,434.16056774321294,0.0,162.12795689655172,0.5319158690831749,1.4244113114934804,434.1605677432129,82.43351896487842,30.26040569596803,0.5319158690831749,1.0,1.4244113114934804
Madera,2021,29.0,1.0,78.0,0,1678.2877464480287,1678.2877464480287,2520.858037256986,2520.8580372569854,4.547473508864641e-13,457.822284278784,457.822284278784,0.0,174.95622988505747,0.5740033788879838,1.5020416150878741,457.8222842787841,86.92613921575811,32.31869278534597,0.5740033788879838,0.9999999999999998,1.5020416150878741
Madera,2022,29.0,1.0,74.0,0,1678.2877464480287,1678.2877464480287,2451.695416477148,2451.695416477148,0.0,445.26140676638465,445.26140676638465,0.0,173.33959523809526,0.5686994594425696,1.460831387028821,445.26140676638465,84.54122125783269,33.13101914158308,0.5686994594425696,1.0,1.460831387028821
Madera,2023,29.0,1.0,70.0,0,1678.2877464480287,1678.2877464480287,2226.923812384922,2226.923812384922,0.0,404.43981042671777,404.43981042671777,0.0,183.31284259259263,0.6014200872460386,1.3269022651795204,404.4398104267178,76.79047628913523,31.813197319784596,0.6014200872460386,1.0,1.3269022651795204
Madera,2024,29.0,1.0,56.0,0,1678.2877464480287,1678.2877464480287,1801.0429187498412,1801.0429187498407,4.547473508864641e-13,327.094017576414,327.094017576414,0.0,164.08518209876544,0.5383372116101227,1.0731431022848223,327.0940175764139,62.10492823275313,32.161480691961444,0.5383372116101227,0.9999999999999998,1.0731431022848223
Merced,2019,149.0,1.0,462.0,0,5678.434028895005,5678.434028895005,8513.065283520304,8513.065283520304,0.0,456.9538512225915,456.9538512225915,0.0,145.62951118568233,0.4777871101892464,1.4991924252709692,456.9538512225914,57.13466633235103,18.42654823272793,0.4777871101892464,1.0,1.4991924252709692
Merced,2020,149.0,1.0,440.0,0,5678.434028895005,5678.434028895005,8258.883933722345,8258.883933722347,-1.8189894035458565e-12,443.3102172516437,443.3102172516437,0.0,145.9650419463087,0.47888793289471365,1.4544298466261278,443.3102172516438,55.42875123303589,18.77019075845988,0.47888793289471365,1.0000000000000002,1.4544298466261278
Merced,2021,149.0,1.0,424.0,0,5678.434028895005,5678.434028895005,8016.624542292902,8016.624542292901,9.094947017729282e-13,430.30651550359977,430.30651550359977,0.0,152.29371252796417,0.4996512878214049,1.4117667831482927,430.30651550359966,53.80284927713357,18.90713335446439,0.4996512878214049,0.9999999999999999,1.4117667831482927
Merced,2022,149.0,1.0,414.0,0,5678.434028895005,5678.434028895005,8189.839450640842,8189.839450640842,0.0,439.60413238103405,439.60413238103405,0.0,161.4801275167785,0.5297904446088534,1.442270775528327,439.6041323810341,54.96536544054256,19.782220895267734,0.5297904446088534,1.0,1.442270775528327
Merced,2023,149.0,1.0,313.0,0,5678.434028895005,5678.434028895005,5271.455187472397,5271.455187472398,-1.8189894035458565e-12,282.95469014267127,282.95469014267127,0.0,157.85581640625,0.5178996601254922,0.9283290359011527,282.9546901426713,35.37889387565368,16.84170986412907,0.5178996601254922,1.0000000000000004,0.9283290359011527
Merced,2024,144.0,1.0,275.0,0,5476.592329604358,5476.592329604358,6087.171497691319,6087.171497691319,0.0,338.78181190644705,338.78181190644705,0.0,183.72320150273222,0.6027664091296989,1.1114888842075032,338.781811906447,42.272024289523046,22.135169082513887,0.6027664091296989,1.0,1.1114888842075032
Riverside,2019,390.0,1.0,1075.0,0,13377.404351573776,13377.404351573776,18778.50526287885,18778.50526287885,0.0,427.8624054188894,427.8624054188894,0.0,159.37820844327177,0.5228943846564034,1.4037480492745715,427.8624054188894,48.15001349456116,17.46837698872451,0.5228943846564034,1.0,1.4037480492745715
Riverside,2020,390.0,1.0,1093.0,0,13377.404351573776,13377.404351573776,19606.94264523747,19606.94264523747,0.0,446.7380936695178,446.7380936695178,0.0,155.30800214776633,0.5095406894611756,1.4656761603330637,446.7380936695178,50.274211910865304,17.93864834879915,0.5095406894611756,1.0,1.4656761603330637
Riverside,2021,390.0,1.0,1055.0,0,13377.404351573776,13377.404351573776,19332.744012447103,19332.744012447103,0.0,440.4905630516165,440.4905630516165,0.0,160.82837123169682,0.5276521365869318,1.445179012636537,440.49056305161645,49.57113849345411,18.324875841182088,0.5276521365869318,1.0,1.445179012636537
Riverside,2022,390.0,1.0,1084.0,0,13377.404351573776,13377.404351573776,19687.811688229165,19687.811688229165,0.0,448.5806696772445,448.5806696772445,0.0,162.78547164948452,0.5340730697161565,1.4717213572088075,448.58066967724454,50.481568431356834,18.162187904270446,0.5340730697161565,1.0,1.4717213572088075
Riverside,2023,390.0,1.0,1004.0,0,13377.404351573776,13377.404351573776,19070.071976356696,19070.071976356696,0.0,434.5056623566668,434.5056623566668,0.0,166.97011414930554,0.5478022117759368,1.4255435116688544,434.50566235666685,48.897620452196655,18.994095593980774,0.5478022117759368,1.0,1.4255435116688544
Riverside,2024,362.0,1.0,944.0,0,12576.339818686301,12576.339818686301,16871.34646492402,16871.34646492402,0.0,408.8937223903675,408.8937223903675,0.0,152.8448,0.5014593175853018,1.3415148372387384,408.8937223903675,46.60592946111608,17.872189051826293,0.5014593175853018,1.0,1.3415148372387384
San Joaquin,2019,375.0,1.0,979.0,0,12017.140958381071,12017.140958381071,17033.299136162197,17033.299136162197,0.0,432.02868258621646,432.02868258621646,0.0,167.78975855855856,0.5504913338535385,1.4174169376188206,432.0286825862165,45.42213102976586,17.398671232034932,0.5504913338535385,1.0,1.4174169376188206
San Joaquin,2020,375.0,1.0,988.0,0,12017.140958381071,12017.140958381071,17632.681875612376,17632.681875612376,0.0,447.2312885652204,447.2312885652204,0.0,171.50900355555555,0.5626935812190144,1.467294253822901,447.23128856522027,47.020485001633,17.84684400365625,0.5626935812190144,1.0,1.467294253822901
San Joaquin,2021,375.0,1.0,1008.0,0,12017.140958381071,12017.140958381071,17290.87471438442,17290.87471438442,0.0,438.56177032430946,438.56177032430946,0.0,164.11557955555557,0.5384369407990668,1.438850952507577,438.56177032430946,46.10899923835845,17.153645549984542,0.5384369407990668,1.0,1.438850952507577
San Joaquin,2022,375.0,1.0,857.0,0,12017.140958381071,12017.140958381071,15795.908475147487,15795.90847514749,-1.8189894035458565e-12,400.6437903906861,400.6437903906861,0.0,176.9896534608379,0.5806747160788645,1.3144481312030385,400.64379039068615,42.12242260039331,18.43163182630979,0.5806747160788645,1.0000000000000002,1.3144481312030385
San Joaquin,2023,375.0,1.0,675.0,0,12017.140958381071,12017.140958381071,11845.519829901012,11845.519829901012,0.0,300.4470411604652,300.4470411604652,0.0,175.1257913907285,0.5745596830404477,0.9857186389779038,300.44704116046506,31.588052879736033,17.54891826652002,0.5745596830404477,1.0,0.9857186389779038
San Joaquin,2024,373.0,1.0,621.0,0,11960.206371525619,11960.206371525619,12040.413787974197,12040.413787974197,0.0,306.84404671408765,306.84404671408765,0.0,184.57416021505378,0.6055582684220924,1.0067061900068492,306.84404671408765,32.27992972647238,19.388750061150077,0.6055582684220924,1.0,1.0067061900068492
Stanislaus,2019,194.0,1.0,579.0,0,3941.117947838404,3941.117947838404,5649.408507538622,5649.408507538622,0.0,436.9165642561419,436.9165642561419,0.0,145.62272379725087,0.4777648418544976,1.4334532948036152,436.9165642561419,29.120662409992896,9.75718222372819,0.4777648418544976,1.0,1.4334532948036152
Stanislaus,2020,194.0,1.0,555.0,0,3941.117947838404,3941.117947838404,5924.681914703087,5924.681914703087,0.0,458.2057861505914,458.2057861505914,0.0,156.50095833333336,0.5134545877077865,1.5032998233287118,458.2057861505914,30.539597498469522,10.675102549014571,0.5134545877077865,1.0,1.5032998233287118
Stanislaus,2021,194.0,1.0,557.0,0,3941.117947838404,3941.117947838404,5657.201909063811,5657.201909063811,0.0,437.5192939425702,437.5192939425702,0.0,156.8341506908463,0.5145477384870285,1.435430754404758,437.51929394257024,29.16083458280315,10.156556389701636,0.5145477384870285,1.0,1.435430754404758
Stanislaus,2022,194.0,1.0,527.0,0,3941.117947838404,3941.117947838404,5531.815811630777,5531.815811630777,0.0,427.8221260314829,427.8221260314829,0.0,155.42280111683849,0.5099173264988138,1.4036158990534215,427.8221260314829,28.514514492942148,10.49680419664284,0.5099173264988138,1.0,1.4036158990534215
Stanislaus,2023,194.0,1.0,415.0,0,3941.117947838404,3941.117947838404,3956.473814902068,3956.4738149020677,4.547473508864641e-13,305.9875991388616,305.9875991388616,0.0,164.52128154425614,0.5397679840690818,1.0038963226340603,305.9875991388616,20.394194922175608,9.533671843137512,0.5397679840690818,0.9999999999999999,1.0038963226340603
Stanislaus,2024,194.0,1.0,389.0,0,3941.117947838404,3941.117947838404,4107.9431902529195,4107.9431902529195,0.0,317.7020076437533,317.7020076437533,0.0,175.80266014056227,0.5767803810385901,1.04232942140339,317.7020076437533,21.174964898210927,10.560265270573058,0.5767803810385901,1.0,1.04232942140339
Tulare,2019,117.0,1.0,353.0,0,4732.229598658098,4732.229598658098,7088.097767060942,7088.097767060942,0.0,456.54002079966835,456.54002079966835,0.0,154.42537284482754,0.5066449240315866,1.4978347139096735,456.54002079966847,60.582032197102066,20.07959707382703,0.5066449240315866,1.0,1.4978347139096735
Tulare,2020,117.0,1.0,322.0,0,4732.229598658098,4732.229598658098,6516.506427105081,6516.506427105081,0.0,419.72417389571655,419.72417389571655,0.0,155.06072079772082,0.5087293989426536,1.3770478146184926,419.72417389571655,55.696636129103254,20.237597599705218,0.5087293989426536,1.0,1.3770478146184926
Tulare,2021,117.0,1.0,295.0,0,4732.229598658098,4732.229598658098,6169.604408841351,6169.604408841351,0.0,397.3804281068885,397.3804281068885,0.0,155.72835129310346,0.5109197877070323,1.3037415620304738,397.3804281068884,52.73166161402864,20.913913250309665,0.5109197877070323,1.0,1.3037415620304738
Tulare,2022,117.0,1.0,311.0,0,4732.229598658098,4732.229598658098,6771.195750726039,6771.195750726039,0.0,436.1285566969401,436.1285566969401,0.0,166.31421296296296,0.5456503049965976,1.4308679681658139,436.12855669694005,57.873467954923406,21.7723336036207,0.5456503049965976,1.0,1.4308679681658139
Tulare,2023,117.0,1.0,277.0,0,4732.229598658098,4732.229598658098,6374.493875218942,6374.493875218942,0.0,410.5772327102825,410.5772327102825,0.0,174.19179015151516,0.571495374512845,1.3470381650599823,410.5772327102826,54.48285363434993,23.01261326793842,0.571495374512845,1.0,1.3470381650599823
Tulare,2024,117.0,1.0,226.0,0,4732.229598658098,4732.229598658098,5326.419810989066,5326.419810989066,0.0,343.07142638426416,343.07142638426416,0.0,168.02405555555558,0.5512600247885682,1.1255624225205514,343.0714263842641,45.524955649479196,23.56822925216401,0.5512600247885682,1.0,1.1255624225205514
Fresno,2019,131.0,1.0,283.0,1,5977.547201327037,5977.547201327037,10221.580911617135,6467.2485239191265,3754.3323876980085,521.2067352925698,329.7702692590922,191.4364660334776,149.513606870229,0.49053020626715554,1.0819234555744492,329.7702692590921,49.368309342894094,22.85246828239974,0.49053020626715554,0.6327053104445813,1.0819234555744492
Fresno,2020,131.0,1.0,241.0,1,5977.547201327037,5977.547201327037,8883.986129634624,5285.116924395628,3598.869205238996,453.00168800197577,269.49241625363675,183.50927174833902,141.0809705128205,0.46286407648563166,0.8841614706484147,269.4924162536368,40.34440400302007,21.929945744380202,0.46286407648563166,0.5949037793706001,0.8841614706484147
Fresno,2021,131.0,1.0,239.0,1,5977.547201327037,5977.547201327037,8935.280481112844,5118.670481348761,3816.609999764083,455.6172287587414,261.00517656619076,194.61205219255066,137.7035884615385,0.4517834267110841,0.8563161960833028,261.0051765661907,39.073820468311155,21.41703130271448,0.4517834267110841,0.5728606384733494,0.8563161960833028
Fresno,2022,131.0,1.0,206.0,1,5977.547201327037,5977.547201327037,9061.111836423179,5098.252056986485,3962.859779436694,462.03347204496333,259.96402447888636,202.06944756607697,156.0604251968504,0.512009269018538,0.8529003427784985,259.96402447888636,38.91795463348461,24.748796393138274,0.512009269018538,0.5626519293684151,0.8529003427784985
Fresno,2023,131.0,1.0,185.0,1,5977.547201327037,5977.547201327037,6630.114522447555,3488.5136996607116,3141.6008227868433,338.0749391645752,177.88215464371885,160.19278452085635,142.40046330275229,0.46719312107202204,0.5836028695660067,177.88215464371885,26.629875569929098,18.85683080897682,0.46719312107202204,0.5261619068342882,0.5836028695660067
