UniqueID,county,WY,n_cuttings,n_cp_season,et_cum_minET_to_last_cut_mm,cut_match_ratio,gdd5_mean
3906086,San Joaquin,2019,7,7,1100.422,1.0,4073.012451171875
3906138,San Joaquin,2019,7,9,952.3909999999998,0.7777777777777778,3627.5927734375
3906160,San Joaquin,2019,8,8,1049.433,1.0,4061.6767578125
3906209,San Joaquin,2019,7,0,1040.07,,3938.197021484375
3906237,San Joaquin,2019,7,8,812.442,0.875,3710.06298828125
3906262,San Joaquin,2019,7,8,1015.748,0.875,3388.445068359375
3906323,San Joaquin,2019,8,8,1053.425,1.0,3941.25048828125
3906330,San Joaquin,2019,6,0,977.627,,3954.830078125
3906348,San Joaquin,2019,7,9,824.681,0.7777777777777778,4018.007568359375
3906372,San Joaquin,2019,7,0,922.1990000000001,,3832.143798828125
3906396,San Joaquin,2019,6,0,782.045,,3363.870849609375
3906431,San Joaquin,2019,7,0,1003.3550000000001,,3937.26904296875
3906515,San Joaquin,2019,8,0,1096.4850000000001,,4371.4677734375
3906537,San Joaquin,2019,6,8,1024.867,0.75,4034.869140625
3906729,San Joaquin,2019,6,7,976.028,0.8571428571428571,3479.93701171875
3906736,San Joaquin,2019,8,9,939.184,0.8888888888888888,3775.49072265625
3906756,San Joaquin,2019,8,8,1071.252,1.0,4101.630859375
3906767,San Joaquin,2019,7,8,816.482,0.875,3484.523681640625
3906890,San Joaquin,2019,7,8,1023.9959999999999,0.875,3882.1201171875
3907002,San Joaquin,2019,8,0,771.67,,3883.2060546875
3907075,San Joaquin,2019,7,8,1067.0049999999999,0.875,3940.50390625
3907128,San Joaquin,2019,6,6,998.276,1.0,3762.169921875
3907236,San Joaquin,2019,8,8,1059.4989999999998,1.0,4108.2314453125
3907239,San Joaquin,2019,8,8,940.393,1.0,4003.86767578125
3907295,San Joaquin,2019,10,11,1066.221,0.9090909090909091,4104.06591796875
3907299,San Joaquin,2019,7,0,1053.297,,3936.57373046875
3907458,San Joaquin,2019,7,8,948.046,0.875,3623.11669921875
3907460,San Joaquin,2019,8,0,1006.2309999999999,,4066.466552734375
3907473,San Joaquin,2019,8,9,1137.836,0.8888888888888888,4069.1572265625
3907537,San Joaquin,2019,6,0,796.0619999999999,,3590.11669921875
3907590,San Joaquin,2019,10,0,885.3099999999998,,4115.0908203125
3907689,San Joaquin,2019,6,0,864.4910000000001,,3676.78076171875
3907734,San Joaquin,2019,8,8,922.0690000000001,1.0,4124.943359375
3907738,San Joaquin,2019,5,0,884.421,,3118.376953125
3907862,San Joaquin,2019,7,0,1021.7600000000001,,4020.32421875
3907908,San Joaquin,2019,7,8,912.2909999999999,0.875,3885.5888671875
3907975,San Joaquin,2019,8,8,956.372,1.0,3762.02294921875
3908018,San Joaquin,2019,5,5,1046.007,1.0,3965.83984375
3908056,San Joaquin,2019,7,7,934.096,1.0,3866.25146484375
3908063,San Joaquin,2019,6,7,898.1250000000001,0.8571428571428571,3465.496337890625
3908095,San Joaquin,2019,8,9,1053.9180000000001,0.8888888888888888,4103.166015625
3908149,San Joaquin,2019,7,0,954.315,,4185.63427734375
3908183,San Joaquin,2019,8,0,966.1600000000001,,3955.175048828125
3908202,San Joaquin,2019,6,0,914.442,,3400.907958984375
3908270,San Joaquin,2019,6,0,970.3199999999999,,3954.931640625
3908296,San Joaquin,2019,6,0,1110.255,,4150.15234375
3908390,San Joaquin,2019,7,0,837.3839999999999,,3604.6337890625
3908412,San Joaquin,2019,7,0,1083.958,,3907.943115234375
3908417,San Joaquin,2019,8,0,1041.794,,4023.327880859375
3908519,San Joaquin,2019,5,0,971.744,,3265.92822265625
3908609,San Joaquin,2019,7,0,996.4090000000001,,4012.89208984375
3908673,San Joaquin,2019,8,0,905.892,,3911.0224609375
3908754,San Joaquin,2019,9,0,1092.53,,3993.68017578125
3908768,San Joaquin,2019,8,8,1037.1370000000002,1.0,4041.031494140625
3908793,San Joaquin,2019,9,0,1053.984,,4119.259765625
3908827,San Joaquin,2019,6,0,942.9050000000001,,3596.7158203125
3908908,San Joaquin,2019,7,8,1082.659,0.875,3891.961181640625
3908910,San Joaquin,2019,6,0,821.509,,3360.955078125
3908931,San Joaquin,2019,5,0,930.8320000000001,,3187.84619140625
3908971,San Joaquin,2019,5,0,846.8380000000002,,2777.615234375
3908976,San Joaquin,2019,6,0,947.012,,3478.4951171875
3909030,San Joaquin,2019,7,0,1076.761,,4180.47900390625
3909120,San Joaquin,2019,8,9,925.1480000000001,0.8888888888888888,3407.654296875
3909138,San Joaquin,2019,7,7,1089.627,1.0,3930.455810546875
3909143,San Joaquin,2019,7,0,818.637,,3655.81005859375
3909157,San Joaquin,2019,7,0,968.549,,3649.32763671875
3909171,San Joaquin,2019,8,0,930.912,,4242.47265625
3909181,San Joaquin,2019,6,0,1082.408,,4083.903076171875
3909247,San Joaquin,2019,8,8,1099.677,1.0,3944.225830078125
3909248,San Joaquin,2019,7,0,968.323,,3650.676025390625
3909269,San Joaquin,2019,7,0,909.8189999999998,,3765.26513671875
3909294,San Joaquin,2019,8,0,1004.9309999999999,,4140.8212890625
3909376,San Joaquin,2019,7,0,1078.8319999999999,,3974.387939453125
3909403,San Joaquin,2019,6,0,938.03,,4011.623046875
3909417,San Joaquin,2019,6,0,750.4269999999999,,3361.90673828125
3909531,San Joaquin,2019,5,0,819.805,,2932.93505859375
3909555,San Joaquin,2019,8,8,1111.001,1.0,3876.991943359375
3909556,San Joaquin,2019,7,0,1098.73,,3978.50732421875
3909706,San Joaquin,2019,9,0,906.33,,3933.875732421875
3909740,San Joaquin,2019,4,0,831.53,,2830.466796875
3909829,San Joaquin,2019,7,0,1038.589,,4089.273193359375
3909842,San Joaquin,2019,8,0,1125.495,,4077.2119140625
3909974,San Joaquin,2019,7,0,997.0790000000001,,4124.24853515625
3909993,San Joaquin,2019,7,0,640.7789999999999,,3864.35009765625
3910008,San Joaquin,2019,6,0,968.9469999999998,,3367.0703125
3910021,San Joaquin,2019,7,0,1009.6800000000001,,3647.736083984375
3910040,San Joaquin,2019,7,0,1023.976,,4070.30224609375
3910288,San Joaquin,2019,6,0,775.2819999999999,,3497.976806640625
3910342,San Joaquin,2019,7,0,928.8299999999999,,3649.30908203125
3910368,San Joaquin,2019,5,0,787.06,,3055.908203125
3910443,San Joaquin,2019,7,0,978.553,,4211.857421875
3910469,San Joaquin,2019,6,8,752.4269999999999,0.75,3380.22216796875
3910510,San Joaquin,2019,7,7,1006.505,1.0,4086.30615234375
3910544,San Joaquin,2019,8,8,928.5020000000001,1.0,3848.0009765625
3910595,San Joaquin,2019,7,7,983.002,1.0,4062.66015625
3910629,San Joaquin,2019,6,0,632.4709999999999,,3149.21240234375
3910660,San Joaquin,2019,6,0,893.5739999999998,,3318.8330078125
3910674,San Joaquin,2019,6,0,890.177,,3061.87255859375
3910714,San Joaquin,2019,8,8,934.9290000000002,1.0,4095.9208984375
3910721,San Joaquin,2019,6,0,841.1769999999999,,3588.0771484375
3910750,San Joaquin,2019,7,0,1075.636,,3946.4990234375
3910771,San Joaquin,2019,9,9,1003.481,1.0,4059.9150390625
3910786,San Joaquin,2019,7,7,988.7289999999999,1.0,3608.612548828125
3910795,San Joaquin,2019,9,0,1056.1870000000001,,4119.259765625
3910805,San Joaquin,2019,4,0,791.044,,2825.217529296875
3910858,San Joaquin,2019,7,0,1101.748,,4293.5703125
3910885,San Joaquin,2019,8,0,1084.405,,4139.41845703125
3910917,San Joaquin,2019,7,0,994.226,,3818.728515625
3910956,San Joaquin,2019,8,0,818.45,,4158.2158203125
3910977,San Joaquin,2019,6,0,1139.457,,4329.5810546875
3911050,San Joaquin,2019,7,7,970.606,1.0,3669.483642578125
3911110,San Joaquin,2019,7,0,975.757,,3674.351318359375
3911185,San Joaquin,2019,5,0,909.703,,3301.43408203125
3911204,San Joaquin,2019,6,0,973.559,,3649.683349609375
3911208,San Joaquin,2019,6,7,1004.7400000000001,0.8571428571428571,3871.222900390625
3911213,San Joaquin,2019,7,10,1121.11,0.7,4028.570068359375
3911318,San Joaquin,2019,8,0,1095.498,,4078.7607421875
3911340,San Joaquin,2019,6,0,917.643,,3486.865234375
3911342,San Joaquin,2019,6,0,872.423,,3308.1669921875
3911355,San Joaquin,2019,8,8,1046.408,1.0,4101.2958984375
3911376,San Joaquin,2019,8,9,906.8009999999999,0.8888888888888888,3566.71630859375
3911451,San Joaquin,2019,7,0,1059.208,,3878.45654296875
3911547,San Joaquin,2019,6,8,654.111,0.75,3647.911865234375
3911566,San Joaquin,2019,8,8,864.041,1.0,3815.9130859375
3911679,San Joaquin,2019,6,8,1108.113,0.75,3850.29345703125
3911703,San Joaquin,2019,8,8,1083.31,1.0,4099.0712890625
3911724,San Joaquin,2019,6,10,890.4920000000001,0.6,3512.000244140625
3911735,San Joaquin,2019,8,0,1113.1119999999999,,4228.7421875
3911741,San Joaquin,2019,8,8,729.0759999999999,1.0,4116.6806640625
3911766,San Joaquin,2019,8,11,903.9060000000001,0.7272727272727273,3633.80908203125
3911796,San Joaquin,2019,7,9,1129.8580000000002,0.7777777777777778,4116.1533203125
3911830,San Joaquin,2019,6,0,898.731,,3777.6337890625
3911930,San Joaquin,2019,8,9,977.4290000000001,0.8888888888888888,3760.990234375
3911943,San Joaquin,2019,7,7,1007.831,1.0,4067.583740234375
3912222,San Joaquin,2019,8,8,1087.875,1.0,3848.96044921875
3912234,San Joaquin,2019,6,0,1162.761,,4227.41259765625
