county,WY,UniqueID,months_count,harvest_events_n,landsat_clear_passes_n,ET_open_annual_mm,ET_corr_annual_mm,delta_annual_mm,annual_pct_reduction,ET_corr_ci_low_annual_mm,ET_corr_ci_high_annual_mm,annual_ci_width_mm,annual_ci_rel_width_pct_of_corr,method,ci_alpha
San Joaquin,2019,3905768,12,8,13,1046.993,1044.8762359999998,2.1167640000000034,0.20217556373347323,1017.6603130000001,1046.993,29.33268699999985,2.8072881734100283,A,0.1
San Joaquin,2019,3906013,12,8,13,1100.1589999999999,988.2200015000001,111.93899849999997,10.174801869547945,942.75703735,989.6064740000002,46.84943665000014,4.740790166044837,A,0.1
San Joaquin,2019,3906029,12,5,13,1074.794,1074.794,0.0,0.0,1022.7111740000001,1074.794,52.082825999999955,4.845842645195261,A,0.1
San Joaquin,2019,3906086,12,6,13,1159.38,1159.3478173359374,0.032182664062517574,0.002775851236222599,1159.3386834661458,1159.360584096354,0.02190063020816524,0.0018890474351770158,A,0.1
San Joaquin,2019,3906138,12,7,13,1118.688,1118.688,0.0,0.0,1118.688,1118.688,0.0,0.0,A,0.1
San Joaquin,2019,3906209,12,4,13,1131.931,1129.1273824375,2.803617562500037,0.2476844933569305,1128.3315536875,1130.012180575,1.6806268875000114,0.14884298385111905,A,0.1
San Joaquin,2019,3906160,12,6,13,1104.934,1104.532906738281,0.40109326171875637,0.036300200891524415,1104.4061166145834,1104.690917734375,0.2848011197916094,0.02578475643904858,A,0.1
San Joaquin,2019,3906237,12,7,13,946.783,931.50961475,15.273385249999997,1.6131875255470365,915.85758575,946.783,30.925414250000017,3.3199243207274707,A,0.1
San Joaquin,2019,3906262,12,6,13,1189.1789999999999,1171.723995,17.45500499999997,1.4678198151834143,1064.517378,1171.753615,107.23623700000007,9.152004862715136,A,0.1
San Joaquin,2019,3906330,12,4,13,1058.7450000000001,1050.9579417773436,7.787058222656256,0.735498937199822,1048.7441863372396,1053.4278044846353,4.683618147395691,0.4456522912301247,A,0.1
San Joaquin,2019,3906323,12,6,13,1134.065,1132.2508622656248,1.8141377343750094,0.15996770329522642,1131.7136215364583,1132.9790187499998,1.2653972135415188,0.11175943915904547,A,0.1
San Joaquin,2019,3906348,12,7,13,906.263,901.66483775,4.598162250000005,0.5073761424663706,880.298715,906.263,25.964285000000018,2.879593826104041,A,0.1
San Joaquin,2019,3906372,12,5,13,1026.676,1008.8185040000001,17.857495999999998,1.7393506812275732,1008.002546,1026.676,18.67345399999988,1.851022153733203,A,0.1
San Joaquin,2019,3906396,12,6,13,966.932,924.0373020000002,42.89469799999999,4.43616490094443,917.2718100000002,964.6714760000001,47.39966599999991,5.129626898979875,A,0.1
San Joaquin,2019,3906431,12,5,13,1063.067,1063.067,0.0,0.0,1027.2949239999998,1063.067,35.7720760000002,3.3649879076295472,A,0.1
San Joaquin,2019,3906515,12,6,13,1091.165,1089.9342,1.2308000000000021,0.11279687306685993,961.0213780000001,1091.165,130.14362199999982,11.940502646857015,A,0.1
San Joaquin,2019,3906537,12,7,13,1085.256,1071.20734825,14.048651749999998,1.294501182209543,953.515894,1075.614508,122.09861399999988,11.398224087938605,A,0.1
San Joaquin,2019,3906729,12,5,13,1157.216,1154.9076264570313,2.3083735429687664,0.1994764627320022,1154.203320710937,1155.8212958921872,1.6179751812501308,0.14009563571882155,A,0.1
San Joaquin,2019,3906736,12,9,13,1036.454,952.6888429999999,83.76515700000002,8.081898183614518,892.026542,1022.1283629999999,130.10182099999997,13.656276333657031,A,0.1
San Joaquin,2019,3906756,12,7,13,1136.6499999999999,985.3453295000003,151.30467049999996,13.311456516957723,967.0471710000002,985.8968090000003,18.84963800000014,1.9129981576677415,A,0.1
San Joaquin,2019,3906890,12,6,13,1123.564,1118.5341933789064,5.029806621093755,0.4476653418135286,1117.2596356458334,1120.3105776438804,3.0509419980469374,0.2727625150940221,A,0.1
San Joaquin,2019,3906767,12,7,13,981.713,971.460029,10.252971000000002,1.0443959690866886,959.7265435,981.108569,21.38202549999994,2.2010195851300374,A,0.1
San Joaquin,2019,3907002,12,6,13,841.789,841.789,0.0,0.0,841.789,841.789,0.0,0.0,A,0.1
San Joaquin,2019,3907075,12,6,13,1143.403,1141.2435385234376,2.1594614765625266,0.18886267366471196,1140.5968956328124,1142.0678176435547,1.4709220107422425,0.12888765290582493,A,0.1
San Joaquin,2019,3907128,12,6,13,1104.616,1051.483091,53.132908999999984,4.81007961137626,991.4327046750001,1075.8476589999998,84.41495432499971,8.028179915353457,A,0.1
San Joaquin,2019,3907236,12,6,13,1104.4679999999998,1099.740386,4.727614000000006,0.4280444521706384,1087.687714775,1103.868309,16.18059422500005,1.471310359334212,A,0.1
San Joaquin,2019,3907239,12,6,13,998.31,998.31,0.0,0.0,967.4807817499999,998.31,30.829218250000054,3.0881407829231455,A,0.1
San Joaquin,2019,3907295,12,9,13,1119.434,1099.488778,19.945222,1.781723799705923,1050.716235,1115.160188,64.44395299999996,5.861265188829419,A,0.1
San Joaquin,2019,3907299,12,4,13,1144.4679999999998,1143.20302890625,1.264971093750006,0.11052917982416338,1142.8439402148438,1143.6023253154297,0.7583851005858833,0.06633861889881992,A,0.1
San Joaquin,2019,3907458,12,8,13,1132.125,953.183234,178.9417660000001,15.805831158220169,932.9122497499999,1024.183312,91.27106225,9.575395264453425,A,0.1
San Joaquin,2019,3907460,12,7,13,1058.374,1058.374,0.0,0.0,1058.374,1058.374,0.0,0.0,A,0.1
San Joaquin,2019,3907473,12,5,13,1190.7849999999999,1176.812296,13.972704000000022,1.1734027553252706,1176.812296,1179.7232759999997,2.910979999999654,0.24736145347003186,A,0.1
San Joaquin,2019,3907537,12,5,13,941.134,889.225456,51.90854400000002,5.51553168836744,879.220335,899.521084,20.300748999999996,2.2829698433644476,A,0.1
San Joaquin,2019,3907590,12,6,13,926.6339999999999,923.0344399999999,3.599560000000011,0.38845542037093517,875.5014269999999,923.93433,48.432903000000124,5.247139315841793,A,0.1
San Joaquin,2019,3907689,12,6,13,988.7869999999999,933.8845469999999,54.90245299999998,5.55250554467241,928.897727,968.2927089999998,39.3949819999998,4.218399600523619,A,0.1
San Joaquin,2019,3907734,12,6,13,972.003,861.4609530000001,110.54204699999987,11.372603479618876,826.81112725,896.9178360000001,70.10670875000005,8.138117985017951,A,0.1
San Joaquin,2019,3907738,12,5,13,1066.165,1060.877814,5.287185999999963,0.49590691872270826,1020.285961,1060.877814,40.5918529999999,3.8262514744228504,A,0.1
San Joaquin,2019,3907862,12,5,13,1094.495,1077.7266115,16.768388499999986,1.5320662497316102,1061.2059840000002,1078.632028,17.42604399999982,1.6169262050369086,A,0.1
San Joaquin,2019,3907908,12,7,13,976.275,967.7164622500001,8.55853775,0.8766523520524441,934.1445725000001,975.5851880000001,41.440615500000035,4.282309655417875,A,0.1
San Joaquin,2019,3907975,12,8,13,1061.8090000000002,1025.67755025,36.13144975000003,3.4028200693345054,960.3135619999999,1045.3033759999998,84.98981399999991,8.286211780620954,A,0.1
San Joaquin,2019,3908018,12,5,13,1153.256,1147.268947,5.987053000000003,0.5191434512371931,1130.2652289999999,1151.5662790000001,21.30105000000026,1.8566745012754415,A,0.1
San Joaquin,2019,3908056,12,7,13,1038.5040000000001,1030.099232,8.404768000000004,0.8093149376410687,1014.0499719,1038.5040000000001,24.454028100000187,2.3739487750632735,A,0.1
San Joaquin,2019,3908063,12,6,13,1088.6229999999998,1025.930472,62.69252799999987,5.758883286500457,1006.35863025,1051.6247728,45.26614255000004,4.412203729727997,A,0.1
San Joaquin,2019,3908149,12,6,13,994.1899999999998,973.9779005,20.212099500000022,2.0330218066969117,952.221913,988.1949999999998,35.97308699999985,3.6934192225031754,A,0.1
San Joaquin,2019,3908095,12,7,13,1113.992,1105.18901,8.802989999999994,0.7902202170213066,1086.104532,1107.26612,21.161587999999938,1.9147483198371598,A,0.1
San Joaquin,2019,3908183,12,6,13,1036.82,1036.82,0.0,0.0,1036.82,1036.82,0.0,0.0,A,0.1
San Joaquin,2019,3908202,12,4,13,1099.045,1096.93107803125,2.1139219687499633,0.19234171200905906,1096.3153610041666,1097.6595348411458,1.3441738369792802,0.12253949805048613,A,0.1
San Joaquin,2019,3908296,12,4,13,1150.7060000000001,1150.7060000000001,0.0,0.0,1150.7060000000001,1150.7060000000001,0.0,0.0,A,0.1
San Joaquin,2019,3908270,12,6,13,1051.291,1046.1287916015624,5.162208398437528,0.4910351556740739,1044.1683025540365,1048.1711653255209,4.002862771484388,0.3826357522725512,A,0.1
San Joaquin,2019,3908390,12,7,13,967.943,933.6747750000001,34.26822499999997,3.540314357353684,888.21269,964.6812124999999,76.46852249999995,8.19005980963767,A,0.1
